La marcatura CE apposta su determinati prodotti è irregolare se risulta essere;a) Leggibile;b) Indelebile;c) Visibile;d) Rimovibile;4
Qualora un operatore commerciale produce beni in violazione alle norme in materia di contraffazione si può procedere alla confisca amministrativa dei locali ove vengono prodotti i materiali contraffatti?;a) Vero, ma solo nell'ipotesi in cui l'operatore sia recidivo;b) Vero;c) Falso, vengono confiscati soltanto i materiali contraffatti;d) Falso, si procede soltanto all'applicazione di una sanzione amministrativa;2
Un rapporto della Commissione europea del 2015 nell' analizzare, tra l'altro, le rotte di movimentazione dei prodotti contraffatti, evidenzia che il maggior Paese di provenienza delle merci contraffatte è:;a) La Cina;b) Il Vietnam;c) La Turchia;d) Singapore;1
Il contrasto alla contraffazione on line può avvenire, tra l'altro, tramite:;a) Perquisizioni digitali;b) Deviando il traffico su altri indirizzi internet;c) L'oscuramento dei siti internet illegali;d) La creazione di nuovi siti internet;3
La circolazione di prodotti contraffatti su internet è stata, ulteriormente, favorita:;"a) Dall'approvazione nel 2019 della c.d. Direttiva ""copyright""";b) Dal denaro ricevuto online indebitamente dal pubblico ufficiale o dall'incaricato del pubblico servizio;c) Da forme di accordo su internet tra le parti, che non seguono l'effettiva remunerazione con denaro o altra utilità;d) Dall'inserimento di meta-tag riferiti a marchi o segni distintivi notori, all'interno dei codici html relativi a siti web legali, quali parole chiave che il motore di ricerca legge e rileva all'atto dell'indicizzazione;4
Nell'ambito del territorio nazionale, come si procede alla registrazione di un brevetto?;a) va presentata un'apposita domanda all'Ufficio Brevetti e Marchi presente in tutte le Camere di Commercio Industria Artigianato e Agricoltura;b) va presentata un'apposita domanda al Comune di residenza del richiedente;c) va presentata un'apposita domanda al ministero dell'Economia e Finanze;"d) va presentata
un'apposita domanda alla locale Prefettura - Ufficio Territoriale del Governo";1
Che cosa s'intende per alterazione di un marchio?;a) La riproduzione di un marchio fedele all'originale;"b) La riproduzione
capziosa di un marchio tale da poter determinare confusione con quello originale";c) La riproduzione di oggetti senza distintivi ma di scarsa qualità;d) La riproduzione non riconducibile ad un marchio registrato;2
La falsa indicazione di cui all'art. 4, comma 49, della Legge 24 dicembre 2003, n. 350:;a) Può essere sanata sul piano amministrativo solo attraverso l'esatta indicazione dell'origine;"b) Può essere sanata sul piano amministrativo solo attraverso l'asportazione della stampigliatura ""made in Italy""";"c) Può essere sanata sul piano amministrativo attraverso l'esatta indicazione dell'origine e l'asportazione della stampigliatura ""made in Italy""";d) Può essere sanata sul piano penale facendo ricorso al Giudice di Pace;3
Ai sensi del regolamento 2003/1383/CE per merce contraffatta si intende:;a) La merce su cui sia stato apposto, senza autorizzazione, un marchio di fabbrica diverso da quello validamente registrato per tutte le altre tipologie di merce;b) La merce su cui sia stato apposto un marchio di fabbrica validamente registrato per quelle stesse tipologie di merce;c) La merce su cui sia stato apposto, senza autorizzazione, un marchio di fabbrica identico a quello validamente registrato per gli stessi tipi di merce;d) La merce su cui sia stato apposto, senza autorizzazione, un marchio di fabbrica diverso da quello validamente registrato per gli stessi tipi di merce;3
La circostanza aggravante, disciplinata dall'art. 474 ter c.p., punisce;a) La condotta delle imprese dedite, in modo sistematico ovvero attraverso l'allestimento di mezzi e attività organizzate, al contrabbando;b) L'autoriciclaggio;c) La contraffazione del sigillo dello Stato;d) La condotta delle imprese dedite, in modo sistematico ovvero attraverso l'allestimento di mezzi e attività organizzate, alla contraffazione;4
Nel settore della contraffazione è prevista la confisca delle cose che servirono o furono destinate a commettere il reato e delle cose che ne sono l'oggetto, il prodotto, il prezzo o il profitto, a chiunque appartenenti?;a) Sì, obbligatoria;b) Sì, ma è facoltativa;c) Sì, obbligatoria ma solo delle cose che furono destinate a commettere il reato;d) Non è mai prevista;1
"L'art. 473 c.p., rubricato (contraffazione,
alterazione o uso di marchi o segni distintivi ovvero di brevetti, modelli e disegni) punisce:";"a) L'alterazione o uso di marchio, segni distintivi ovvero di brevetti, modelli
e disegni";b) La contraffazione, alterazione o uso di marchio, segni distintivi ovvero di brevetti, modelli e disegni;c) La contraffazione alterazione o uso di brevetti, modelli e disegni;d) L'uso di marchio, segni distintivi ovvero di brevetti, modelli e disegni;2
Laddove sussista il fondato sospetto che le merci rechino una falsa o fallace indicazione di provenienza, da chi può essere disposto il fermo amministrativo delle merci, ai sensi dell'art. 1 del D.P.R. n. 656/1968?;a) Dal Ministero dello Sviluppo Economico;b) Dall'Autorità Portuale;c) Dall'Autorità doganale;d) Dalla Capitaneria di Porto;3
"Può integrare la fattispecie di reato di commercializzazione di prodotti recanti false indicazioni -ex art. 517 c.p.- l'ingannevole indicazione ""100% italiano"" riportata sul prodotto immesso al consumo, nonché su fatture o altra corrispondenza?";a) Vero;b) Falso, è reato solo se l'indicazione è riportata nella fattura;c) Falso, è reato solo se l'indicazione è riportata sulla confezione;d) Falso, è reato solo se l'indicazione è riportata in altra corrispondenza;1
L'acquirente finale di prodotti che, per la loro qualità o entità di prezzo inducano a ritenere che siano state violate le norme in materia di contraffazione;a) È punito con la sanzione dell'ammenda;b) Non subisce alcuna sanzione;c) È punito con una sanzione pecuniaria amministrativa;d) È punito con la sanzione della multa;3
Ai sensi della normativa attualmente vigente, nella confezione, nell'imballaggio o nel foglio illustrativo di un giocattolo può mancare;a) La marcatura CE;b) Il foglio di istruzioni in lingua italiana;"c) La dicitura delle
avvertenze sulle fasce d'età consigliate";d) La durata di impiego prevedibile;4
Il RAPEX è un sistema comunitario di allerta rapido, esistente in materia di sicurezza sui prodotti ?;a) Falso, è il SELEX;b) Falso, è il SARC;c) Vero;d) Falso, è il SAR;3
L'apposizione di un falso marchio CE su di un determinato prodotto, integra:;a) Il reato di contraffazione;b) L'incauto acquisto;c) Il reato di contrabbando;d) condotte commerciali ingannevoli potenzialmente in grado di configurare il reato della frode in commercio;4
Non si può procedere a registrare un marchio in presenza di uno dei seguenti elementi caratterizzanti:;a) Genericità;b) Capacità distintiva;c) Liceità e verità;d) Novità;1
In materia di lotta alla contraffazione, l'azione investigativa della Guardia di Finanza può svolgersi anche attraverso il monitoraggio di internet?;a) Vero, per individuare le violazioni commesse attraverso la rete;b) Vero, per monitorare le scelte ai fini statistici;c) Vero, per monitorare la statistica dei contatti internet;d) Falso;1
Cos'è il Sistema di Allerta Rapido comunitario Gras-Rapex?;"a) È un sistema di
comunicazione tra gli Stati membri per segnalare la commercializzazione di prodotti pericolosi";b) È un sistema di alert per l'attivazione di attività amministrativa in uno specifico Stato membro;c) È un circuito telematico di mero scambio informativo tra gli Stati membri;d) È il circuito telematico di comunicazione e notifica tra gli Stati membri della individuazione, nel corso dei controlli, di prodotti comportanti un rischio grave per la salute del consumatore;4
Le circolari emanate negli anni dal Comando Generale - III Reparto Operazioni - individuano come obiettivo finale della lotta alla contraffazione;a) La confisca dei mezzi utilizzati per trasportare i prodotti contraffatti;b) La ricostruzione dei flussi di beni e di denaro, l'individuazione della filiera del falso e l'aggressione dei patrimoni illeciti;c) L'arresto di tutte le persone coinvolte nell'attività illecita;d) L'individuazione della filiera del falso e l'aggressione dei patrimoni illeciti;2
Tra le misure di sicurezza patrimoniali applicabili in materia di lotta alla contraffazione, per i reati di cui all'art. 473 c.p. e 474 c.p., rientra la confisca obbligatoria delle cose che servirono o furono destinate a commettere il reato?;a) Sì;b) No, è facoltativa;"c) No, la Confisca è ""per sproporzione""";"d) No, solo Confisca dei beni ""per equivalente""";1
In tema di sicurezza prodotti e tutela del consumatore, il legislatore europeo in virtù del Regolamento CE n. 765/2008 ha stabilito che determinati prodotti, pena il ritiro immediato dal mercato siano obbligatoriamente muniti di:;a) Appendice informativa;b) Marcatura CE;"c) ""Made in PRC""";"d) ""Made in UE""";2
"Il fenomeno dell' ""Italian sounding"" ha un impatto negativo sul comparto agroalimentare nazionale, in termini di:";a) Cessazione di imprese operanti in aree geografiche connotate da forte compromissione criminale del territorio;b) Riduzione delle vendite e potenziale danno d'immagine, derivante dalla scarsa qualità dei prodotti usurpativi immessi sui mercati internazionali;c) Indebita percezione di erogazioni a danno dello Stato, di cui all'art. 316-ter C.P;d) Infiltrazioni malavitose nell'economia legale;2
Che cosa ha previsto, relativamente alla contraffazione, la legge n. 99/2009?;a) Non è più prevista dall'ordinamento vigente;b) Sanzioni amministrative per l'acquirente finale;c) L'obbligatorietà dell'accertamento fiscale agli organizzatori dell'attività illecita;d) Sanzioni più severe, adeguate alla gravità del fenomeno, nonché l'estensione ai reati più gravi di contraffazione dei poteri investigativi riconosciuti dalla legislazione antimafia;4
"Che cosa si vuole intendere con il termine ""italian sounding""?";a) Le canzoni italianeggianti;b) L'ingannevole richiamo dell'italianità di un prodotto;c) Una recente forma di criminalità organizzata negli Stati Uniti d'America;d) Canzoni italiane cantate da artisti internazionali;2
È sempre disposta la confisca delle cose che servirono o furono destinate a commettere il reato nei casi degli artt. 473 e 474 del codice penale?;a) Si, secondo l'articolo 474 bis del codice penale.;b) No.;c) solo se si tratta di beni dal valore inferiore a centomila.;d) Solo se si tratta di beni dal valore superiore a euro centomila.;1
La contraffazione del marchio CE integra elementi costitutivi del reato di cui all'art. 515 del c. p. (Frode nell'esercizio del commercio)?;a) No, ma dell'articolo 529 del codice penale.;b) No.;c) Si, come ribadito anche dal Corte di Cassazione con sentenza 9310/13;d) No ma dall'articolo 648 del codice penale.;3
"Il piano operativo ""tutela del made in Italy e sicurezza prodotti"" ha l'obiettivo di:";a) tutelare la libertà personale dalle condotte di frode nell'esercizio del commercio, nella vendita di prodotti con segni industriali mendaci, ecc., nonché di favorire la diffusione di prodotti non conformi rispetto agli standard di sicurezza imposti dalla normativa dell'UE e nazionale;b) proteggere il mercato dalla diffusione di prodotti non conformi rispetto agli standard di sicurezza imposti dalla normativa dell'UE e nazionale ma non di tutelare la proprietà industriale dalle condotte di frode nell'esercizio del commercio, nella vendita di prodotti con segni industriali mendaci, ecc.;c) tutelare la proprietà industriale dalle condotte di frode nell'esercizio del commercio, nella vendita di prodotti con segni industriali mendaci, ecc., ma non di proteggere il mercato dalla diffusione di prodotti non conformi rispetto agli standard di sicurezza imposti dalla normativa dell'UE e nazionale;d) tutelare la proprietà industriale dalle condotte di frode nell'esercizio del commercio, nella vendita di prodotti con segni industriali mendaci, ecc., nonché di proteggere il mercato dalla diffusione di prodotti non conformi rispetto agli standard di sicurezza imposti dalla normativa dell'UE e nazionale;4
"Nell'ambito del piano operativo ""lotta alla contraffazione"", tra gli altri, la GdF:";"a) ricorre agli strumenti investigativi delle operazioni ""sotto- copertura"", alle consegne controllate, agli acquisti simulati e alle omissioni/ritardi negli atti di polizia giudiziaria ma non alle intercettazioni telefoniche";"b) non può ricorrere agli strumenti investigativi delle operazioni ""sotto- copertura"", alle consegne controllate, agli acquisti simulati e alle omissioni/ritardi negli atti di polizia giudiziaria nonché alle intercettazioni telefoniche";"c) ricorre agli strumenti investigativi delle operazioni ""sotto- copertura"", alle consegne controllate, agli acquisti simulati e alle omissioni/ritardi negli atti di polizia giudiziaria nonché alle intercettazioni telefoniche";"d) ricorre alle
intercettazioni telefoniche ma non agli strumenti investigativi delle operazioni ""sotto-copertura"", alle consegne controllate, agli acquisti simulati e alle omissioni/ritardi negli atti di polizia giudiziaria";3
Le attività di rendicontazione delle attività di servizio eseguite nel comparto della tutela del mercato beni e servizi deve essere fatta:;a) Sull'applicativo di rendicontazione SIAC- GdF per i settori di pertinenza e contestualmente su ARES per i rimanenti settori di servizio;b) Esclusivamente attraverso il PiGreco web;c) Esclusivamente sull'applicativo di rendicontazione SIAC- GdF;d) Esclusivamente sull'applicativo di rendicontazione ARES;1
L'art. 16 co. 4 del D.L. n. 135/2009, convertito in Legge n. 166/2009, ha introdotto una fattispecie penale, prevedendo che chiunque fa uso di un'indicazione di vendita che presenti il prodotto:;"a) come interamente realizzato in Italia, quale ""100% made in Italy"" o 100% Italia"", in qualunque lingua espressa, inducendo ad una fallace convinzione, è punito con le pene dell'art. 517 c.p., aumentate di un terzo";"b) come in gran parte realizzato in Italia, quale ""60% made in Italy"", in qualunque lingua espressa, inducendo ad una fallace convinzione, è punito con le pene dell'art. 473 c.p., aumentate di un terzo";"c) come mai realizzato in Italia, quale ""0% made in Italy"", in qualunque lingua espressa, inducendo ad una fallace convinzione, è punito con le pene dell'art. 517 c.p., aumentate di un terzo";"d) come per metà realizzato in Italia, quale ""50% made in Italy"", in qualunque lingua espressa, inducendo ad una fallace convinzione, è punito con le pene dell'art. 474 c.p., aumentate di un terzo";1
Un prodotto che risulta palesemente falso, facilmente riconoscibile nella sua falsità è:;a) Un prodotto ben imitato di grossa taglia;b) Un prodotto falso confondibile con l'originale;c) un falso grossolano;d) Un prodotto ben falsificato di grosse dimensioni;3
Chiunque fabbrica beni, realizzati usurpando un titolo di proprietà industriale, salvo l'applicazione degli artt. 473 e 474, è punibile con la reclusione:;a) Previa richiesta di procedimento;b) Previa richiesta di autorizzazione a procedere;c) Con procedibilità d'ufficio;d) A querela della persona offesa;4
L'art. 517 c.p. punisce:;"a) Il reato
dell'importazione e dell'esportazione ai fini di commercializzazione di prodotti recanti fallaci indicazioni di provenienza";b) L'illecito amministrativo dell'importazione e dell'esportazione ai fini di commercializzazione di prodotti recanti fallaci indicazioni di provenienza;c) L'associazione a delinquere finalizzata alla contraffazione;"d) L'ingannevole
pubblicità di un prodotto ""Made in Italy""";1
Il reato di falsa o fallace indicazione di origine, provenienza o qualità dei prodotti è dettato:;a) Dal combinato disposto di cui all'art. 4, comma 49 della L. n. 350/2003 e all'art. 517 c.p.;b) Dall'art. 517 c.p.;c) Dall'art. 473 c.p.;d) Dal DPR n. 656/1968;1
"Ai sensi della legge n. 350/2003, cosa costituisce la stampigliatura ""made in Italy"" su prodotti e merci non originari dall'Italia?";a) Fallace indicazione;b) Falsa indicazione;c) Ingannevole indicazione;d) Errata indicazione;2
Il reato di contraffazione punito dall'art. 473 primo comma del codice penale, prevede l'applicazione:;a) della reclusione da sei mesi a 3 anni e della multa da euro 5.000 a euro 35.000;b) dell'arresto fino a sei mesi e dell'ammenda da euro 300 a euro 1.000;c) dell'arresto fino a tre mesi e dell'ammenda da euro 100 a euro 500;d) della reclusione da sei mesi a tre anni e della multa da euro 2.500 a euro 25.000;4
"All'interno degli spazi doganali il contrasto della contraffazione, la tutela del ""Made in Italy"" e della sicurezza prodotti sono affidati a:";a) Ministero della Salute;b) Polizia di Frontiera;c) Capitaneria di Porto;d) Agenzia delle Dogane e Monopoli e Guardia di Finanza;4
La Giurisprudenza della Corte di Cassazione ha chiarito che la funzione della marcatura CE:;a) È quella di evitare la ricettazione;b) È quella di evitare le frodi agroalimentari;"c) È quella di tutelare il ""Made in Italy""";d) È quella di proteggere la salute e la sicurezza degli acquirenti dei prodotti;4
Ai sensi del Dlgs. n. 206/2005 - Codice al consumo- la violazione di commercio di prodotti che non riportino le indicazioni relative all'eventuale presenza di sostanze che possono arrecare danno all'uomo può essere accertata;a) Dagli organi di Polizia Amministrativa nonché da Ufficiali ed Agenti di Polizia Giudiziaria;b) Solo da Ufficiali di Polizia Giudiziaria;c) Solo da Ufficiali di Polizia Giudiziaria ed Organi di Polizia Ammministrativa;d) Solo da Organi di Polizia Ammministrativa;1
Nel rispetto del D.Lgs. n. 206/2005 -Codice del consumo- quale delle seguenti indicazioni non è obbligatorio riportare nelle confezioni dei prodotti destinati al consumatore;a) Volume d'affari del produttore;b) Istruzioni, eventuali precauzioni e destinazione;c) Paese di origine se situato fuori dall'Unione Europea;d) Denominazione legale o merceologica del prodotto;1
Nel caso in cui venga individuata in un Paese straniero l'ultima lavorazione sostanziale, che non consiste nel mero assemblaggio, nell'etichettatura o nel confezionamento dei prodotti:;"a) Non è corretta l'applicazione ""made in italy"" sul prodotto;";"b) È comunque consentita l'applicazione ""made in italy"" sul prodotto";"c) È consentita la stampigliatura ""made in Italy"" solo su prodotti e merci non originari dell'Italia ai sensi della normativa europea sull'origine";d) Si applicheranno dei dazi antidumping;1
"I controlli ispettivi in materia di ""sicurezza dei prodotti"" possono essere eseguiti dalla Guardia di Finanza d'iniziativa o essere richiesti dal:";a) Ministero dei Rapporti con il Parlamento;b) Ministero della Difesa;c) Ministero della Pubblica Istruzione;d) Ministero delle Imprese e del Made in Italy;4
Per Italian Sounding agroalimentare si intende:;a) l'uso di una ricetta registrata ma che ha chiare origini italiane;b) l'uso di una ricetta registrata in Italia;c) l'uso di una ricetta non registrata ma che non ha chiare origini italiane;d) l'uso di una ricetta non registrata ma che ha chiare origini italiane;4
Chi può ottenere l'iscrizione del marchio nel registro dei marchi storici di interesse nazionale?;"a) I titolari o licenziatari esclusivi di marchi d'impresa
registrati da almeno cinquanta anni o per i quali sia possibile dimostrare l'uso continuativo da almeno cinquanta anni, utilizzati per la commercializzazione di prodotti o servizi realizzati in
un'impresa produttiva nazionale di eccellenza storicamente collegata al territorio nazionale";"b) I titolari o licenziatari esclusivi di marchi d'impresa
registrati da almeno venti anni o per i quali sia possibile
dimostrare l'uso continuativo da almeno cinquanta anni, utilizzati per la commercializzazione di prodotti o servizi realizzati in
un'impresa produttiva nazionale di eccellenza storicamente collegata al territorio nazionale";"c) I titolari o licenziatari esclusivi di marchi d'impresa
registrati da almeno quarant'anni o per i quali sia possibile dimostrare l'uso continuativo da almeno cinquanta anni, utilizzati per la commercializzazione di prodotti o servizi realizzati in
un'impresa produttiva nazionale di eccellenza storicamente collegata al territorio nazionale";"d) I titolari o licenziatari esclusivi di marchi d'impresa
registrati da almeno trenta anni o per i quali sia possibile
dimostrare l'uso continuativo da almeno cinquanta anni, utilizzati per la commercializzazione di prodotti o servizi realizzati in
un'impresa produttiva nazionale di eccellenza storicamente collegata al territorio nazionale";1
Il logo «Marchio storico di interesse nazionale» è stato istituito:;a) con decreto del Ministro delle Finanze;b) con decreto del Ministro degli Esteri;c) con decreto del Ministro dell'interno;d) con decreto del Ministro dello sviluppo economico;4
Il registro speciale dei marchi storici come definiti dall'articolo 11-ter. Dlgs 30 / 2005 dove è istituito ?;a) presso l'apposito ufficio del M.I.S.E.;b) presso la sede centrale della Banca di Italia;c) presso l'ufficio italiano brevetti e marchi;d) presso la sede centrale dell'agenzia delle entrate;3
"Ai sensi del Dlgs 30/2005 cosa si intende per ""atti di pirateria"" ?";a) le contraffazioni evidenti dei marchi, disegni e modelli registrati e le violazioni di altrui diritti di proprieta' industriale realizzate dolosamente in modo sistematico;b) il furto di prodotti brevettati in italia;c) la contraffazione di disegni e modelli non ancora registrati;d) le contraffazioni evidenti dei marchi, disegni e modelli registrati e le violazioni di altrui diritti di proprieta' industriale realizzate colposamente in modo sistematico;1
Quali funzioni ha il Consiglio nazionale per la lotta alla contraffazione e all'Italian Sounding?;a) funzioni di indirizzo, impulso e coordinamento delle azioni strategiche intraprese da ogni amministrazione, al fine di migliorare l'insieme dell'azione di contrasto della contraffazione a livello nazionale;"b) funzioni di
coordinamento dell'attività svolta dalla Guardia di Finanza in materia di sicurezza prodotti";c) nessuna funzione specifica;d) funzioni di impulso ed indirizzo della Guardia di Finanza nella lotta alla contraffazione;1
"I controlli in materia di ""sicurezza dei prodotti"" possono essere eseguiti dalla Guardia di Finanza presso qualsiasi soggetto della catena produzione- importazione-distribuzione-vendita";a) Falso, solo presso i punti di distribuzione- vendita;b) Vero;c) Falso, solo su autorizzazione del Consiglio Nazionale per la lotta alla contraffazione e all'italian Sounding (CNALCIS);d) Falso, solo presso gli spazi doganali e in collaborazione con l'Agenzia delle dogane e Monopoli;2
Le confezioni di prodotti alimentari non contengono il marchio CE?;a) Falso, solo gli apparecchi a gas;b) Falso, solo gli ascensori;c) Falso, solo gli occhiali da sole;d) Vero;4
Cosa prevede il D.L. n. 35/2005 all'articolo 1 comma 7?;a) Una sanzione penale per l'acquirente finale di prodotti palesemente contraffatti;b) Il fermo per l'acquirente finale di prodotti palesemente contraffatti;c) L'arresto per l'acquirente finale di prodotti palesemente contraffatti;d) Una sanzione amministrativa per l'acquirente finale di cose che, per la loro qualità o per la condizione di chi le offre o per l'entità del prezzo, inducano a ritenere che siano state violate le norme in materia di origine e provenienza dei prodotti ed in materia di proprietà industriale.;4
"Qual è il significato usualmente accolto dalle norme penali del termine ""usurpando""?";a) Non vi è un significato usualmente accolto.;b) Il significato usualmente accolto è quello di esercizio di un potere o di un diritto altrui appropriandosene indebitamente.;c) Il significato usualmente accolto è quello di esercizio abusivo di un potere al fine di impossessarsi di una cosa di terzi.;"d) Il significato usualmente accolto è
quello di abuso di potere al fine di impossessarsi di una cosa di terzi.";2
A quale pena soggiace chi commette il reato di cui all'art. 517 quater del codice penale?;a) Alla reclusione fino a tre anni e con la multa fino a euro 20.000.;b) Alla reclusione fino a due anni e con la multa fino a euro 40.000.;c) Alla reclusione fino a quattro anni.;d) Alla reclusione fino a due anni e con la multa fino a euro 20.000.;4
È consentito l'uso di intercettazioni telefoniche, nei procedimenti per i delitti di commercio di sostanze alimentari nocive (art. 444 c.p.)?;a) Si, come disposto dall'art. 14, comma 3, della Legge 14 Gennaio 2013, n. 9.;b) Si, ma soltanto se è stata provata anche l'associazione a delinquere.;c) No, sono previste solo per i delitti di cui agli artt. 473 e 474 del codice penale.;d) No.;1
È consentito l'uso di intercettazioni telefoniche, nei procedimenti per i delitti di contraffazione di indicazioni geografiche o denominazioni di origine dei prodotti agroalimentari (art. 517-quater c.p.)?;a) Si, soltanto se eseguite dalla Polizia di Stato.;b) No, sono previste solo per i delitti di cui agli artt. 473 e 474 del codice penale.;c) Si, come disposto dall'art. 14, comma 3, della Legge 14 Gennaio 2013, n. 9.;d) No.;3
"L'indicazione del nome o ragione sociale o marchio
e alla sede legale del produttore o di un importatore stabilito nell'Unione europea, è uno dei requisiti minimi per poter commercializzare un prodotto in Italia, secondo quanto stabilito dall'art. 6 del D.Lgs. 6 Settembre 2005, n. 206 (Codice del Consumo)?";a) Si.;b) Si, ma solo con riferimento a materiale elettrico.;c) No.;d) Si, ma solo con riferimento a prodotti chimici.;1
Nel rispetto del D.Lgs. n. 206/2005 -Codice al consumo- il volume d'affari del produttore è un'indicazione obbligatoria da riportare nelle confezioni dei prodotti destinati al consumatore?;a) Si, se inferiore a 100.000,00 euro.;b) Si, sempre.;c) No.;d) a) Si, se superiore a 100.000,00 euro.;3
Il Nucleo Speciale Beni e Servizi è affiancato ai Reparti territoriali della Guardia di Finanza, al fine di contrastare più efficacemente il fenomeno:;a) Delle violazioni in merito di Patrimonio Artistico;b) Delle violazioni in materia di spesa pubblica;c) Della contraffazione;d) Delle violazioni in ambito del mercato dei capitali;3
"Il ""Dispositivo Permanente di Contrasto ai Traffici Illeciti"" ha l'obiettivo di tutelare la sicurezza economico-finanziaria:";a) intensificando la prevenzione ed il contrasto dei soli reati di contraffazione e frode in commercio, mediante una preventiva mappatura delle aree territoriali di competenza dei Comandi Provinciali nonché attraverso l'esecuzione di servizi di appostamento, perlustrazione, osservazione e posti di controllo;b) intensificando la prevenzione ed il contrasto dei traffici illeciti, mediante una preventiva mappatura delle aree territoriali di competenza dei Comandi Provinciali nonché attraverso l'esecuzione di servizi di appostamento, perlustrazione, osservazione e posti di controllo;c) intensificando la prevenzione ed il contrasto dei soli traffici illeciti di tabacchi lavorati esteri, mediante una preventiva mappatura delle aree territoriali di competenza dei Comandi Provinciali nonché attraverso l'esecuzione di servizi di appostamento, perlustrazione, osservazione e posti di controllo;d) intensificando la prevenzione ed il contrasto dei traffici illeciti, mediante una preventiva mappatura delle aree territoriali di competenza dei Comandi Regionali ma non attraverso l'esecuzione di servizi di appostamento, perlustrazione, osservazione e posti di controllo;2
