La marcatura CE apposta su determinati prodotti è irregolare se risulta essere;a) Leggibile;b) Indelebile;c) Visibile;d) Rimovibile;4
Qual è la finalità della Direttiva 2001/95/CE?;a) Stabilire a livello comunitario le norme di distribuzione di tutti i prodotti destinati ai consumatori;b) Stabilire a livello comunitario un obbligo generale di sicurezza per tutti i prodotti destinati ai consumatori;c) Garantire che i prodotti comunitari rispettino gli standard di qualità per tutti i prodotti destinati ai consumatori;d) Stabilire a livello comunitario i requisiti minimi per la fabbricazione dei prodotti destinati ai consumatori;2
Sono considerati prodotti di origine italiana, in base alla normativa unionale sull'origine:;a) I prodotti realizzati sul territorio nazionale utilizzando esclusivamente componenti di origine italiana ed inviati all'estero per essere semplicemente assemblati, confezionati ed etichettati, che non subiscano nello stabilimento estero una trasformazione sostanziale;b) I prodotti realizzati sul territorio nazionale utilizzando esclusivamente componenti di origine straniera ed inviati all'estero per essere semplicemente assemblati, confezionati ed etichettati, che subiscano nello stabilimento estero una trasformazione sostanziale;c) I prodotti realizzati sul territorio estero utilizzando in parte componenti di origine italiana e riinviati in Italia per essere semplicemente assemblati, confezionati ed etichettati;d) I prodotti realizzati sul territorio nazionale utilizzando in parte componenti di origine italiana ed inviati all'estero per essere semplicemente assemblati, confezionati ed etichettati, che non subiscano nello stabilimento estero una trasformazione sostanziale;1
La marcatura CE è un simbolo grafico preciso, in caso di ingrandimento o riduzione devono obbligatoriamente rispettare le proporzioni indicate e la dimensione verticale non può essere inferiore a:;a) 5 mm;b) 10 mm;c) 15 mm;d) 8 mm;1
La piattaforma del Sistema Informativo Anticontraffazione (S.I.A.C.) dispone, anche:;"a) dell'applicativo COLIBRI (Comodità On Line Brand Inquiry) che consente un'azione di contrasto mirata ai sodalizi mafiosi, rilevando la presenza di annunci proponenti la vendita di droga e beni ""dual use""";b) dell'applicativo COLIBRI (Convenienza Online Brand Inquiry) che consente un'azione di contrasto mirata alla rete delle truffe aggravate in ambito previdenziale, rilevando la presenza di annunci proponenti la vendita di materiale sanitario;"c) dell'applicativo
COLIBRI (Contraffazione Online Brand Inquiry) che consente un'azione di contrasto mirata alla rete della criminalità organizzata, rilevando la presenza di annunci proponenti la vendita di materiale contraffatto";"d) dell'applicativo
COLIBRI (Contraffazione Online Brand Inquiry) che consente un'azione di contrasto mirata alla rete internet, rilevando la presenza, nei principali siti dedicati all'e-commerce, di annunci proponenti la vendita di materiale contraffatto";4
Cosa deve intendersi per riproduzione capziosa di un marchio tale da poter determinare confusione con quello originale?;a) Riproduzione di un marchio.;b) Alterazione di un marchio.;c) Simulazione di marchio.;d) nulla.;2
"Nel corso della mappatura ai fini dell'applicazione del ""Dispositivo operativo per il contrasto alla contraffazione ed all'abusivismo commerciale organizzato"", i Reparti della Guardia di Finanza effettuano il monitoraggio:";a) attraverso una ricognizione fisica del territorio provinciale previa delega del Prefetto competente, analizzando i risultati di servizio tramite l'applicativo SIAF SIAC e intensificando l'azione di intelligence.;b) attraverso una ricognizione fisica del territorio provinciale, analizzando i risultati di servizio tramite l'applicativo S.I.A.C., intensificando l'azione di intelligence.;c) attraverso una ricognizione fisica del territorio regionale, analizzando i risultati di servizio tramite l'applicativo S.I.A.C., ma non intensificando l'azione di intelligence.;d) attraverso una ricognizione fisica del territorio regionale, intensificando l'azione di intelligence e assumendo contatti con le Associazioni di categoria o enti di studio interessati al fenomeno.;2
Dove è istituito il registro speciale dei marchi storici come definiti dall'articolo 11-ter. Dlgs 30/2005?;a) presso la sede centrale della Banca di Italia;b) presso l'ufficio italiano brevetti e marchi;c) presso l'apposito ufficio del M.I.S.E.;d) presso la sede centrale dell'agenzia delle entrate;2
È sempre disposta la confisca delle cose che ne sono l'oggetto, il prodotto, il prezzo o il profitto (del reato), a chiunque appartenenti, nei casi degli artt. 473 e 474 del codice penale?;a) Soltanto se l'oggetto, il prodotto, il prezzo o il profitto (del reato) superano il valore di euro cinquecentomila.;b) Si, secondo l'articolo 474 bis del codice penale.;c) No.;d) Soltanto se l'oggetto, il prodotto, il prezzo o il profitto (del reato) sono inferiori al valore di euro cinquecentomila.;2
Per Italian Sounding nel particolare comparto dell'agroalimentare si intende:;a) l'uso di una ricetta registrata in Italia;b) l'uso di una ricetta non registrata ma che ha chiare origini italiane;c) l'uso di una ricetta non registrata ma che non ha chiare origini italiane;d) l'uso di una ricetta registrata ma che ha chiare origini italiane;2
Salvo che il fatto costituisca reato, il produttore che non ottempera al provvedimento di divieto dell'autorità di vigilanza di immissione di un giocattolo, con marcatura CE irregolare, sul mercato è soggetto:;"a) Alla sanzione
amministrativa da 1.500 a 5.000 euro";"b) Alla sanzione
amministrativa da 2.500 a 15.000 euro";"c) Alla sanzione
amministrativa da 2.500 a 10.000 euro";d) Alla multa fino a 10.000 euro;3
Il produttore che immette sul mercato un giocattolo privo del marchio CE è soggetto:;"a) Alla sanzione
amministrativa da 2.500 a 10.000 euro";b) Alla multa da 5.000 a 20.000 euro;"c) Alla sanzione
amministrativa da 2.500 a 30.000 euro, salvo che il fatto non costituisca reato";"d) Alla sanzione
amministrativa da 6.000 a 16.000 euro";3
L'art. 514 c.p. rubricato frodi contro le industrie nazionali al 1° comma prevede l'applicazione:;a) dell'arresto fino a un anno e dell'ammenda da euro 500 a euro 3.000;b) della reclusione da uno a cinque anni e della multa non inferiore a euro 516;c) della reclusione da uno a tre anni e della multa fino a euro 500;d) dell'arresto fino a tre mesi e dell'ammenda da euro 100 a euro 500;2
Qualora un gruppo criminale organizzato, che pone in essere reati previsti dall'art. 474 c.p. in materia di contraffazione, dovesse operare in diversi Stati:;a) Si potrà configurare il reato di associazione a delinquere ex art. 416 c.p.;b) Si potrà configurare il reato di associazione a delinquere di stampo mafioso ex art. 416 bis c.p.;c) Bisognerà attivare i canali di cooperazione internazionale;d) Si potrà configurare il reato transanzionale, ai sensi dell'art. 3 della L. n. 146/2006;4
La condotta di contraffazione punita dall'art. 474 c.p. rubricato, introduzione nello Stato e commercio di prodotti con segni falsi, è:;a) Un illecito amministrativo;b) Un reato societario;c) Un reato tributario;d) Un delitto;4
L'art. 1, comma 7, del D.L. n. 35/2005, nel caso di operatore commerciale o importatore o qualunque altro soggetto diverso dall'acquirente finale che proceda all'acquisto di merce contraffatta, salvo che il fatto non costituisca reato prevede:;"a) La sanzione
amministrativa da 100 a 7.000 euro";"b) La sanzione
amministrativa da 500.000 fino a un milione di euro nonché la confisca amministrativa dei locali ove vengono prodotti, depositati, detenuti per la vendita o venduti i materiali contraffatti";"c) La sanzione
amministrativa da 20.000 fino a un milione di euro nonché la confisca amministrativa dei locali ove vengono prodotti, depositati, detenuti per la vendita o venduti i materiali contraffatti";d) La reclusione da uno a tre anni e la confisca penale dei locali ove vengono prodotti, depositati, detenuti per la vendita o venduti i materiali contraffatti;3
"E' possibile procedere ad effettuare la confisca ""per equivalente"" in materia di delitti legati alla contraffazione:";a) Vero, in caso di impossibilità di risalire ai vantaggi direttamente scaturenti dal reato di contraffazione;b) Falso, solo in caso di reato transnazionale;c) Falso, è prevista solo la confisca delle cose che furono destinate a commettere il reato di contraffazione;d) Falso;1
L'articolo 474 codice penale punisce:;a) L'esportazione di prodotti con segni falsi;"b) La produzione nello
Stato e il commercio di
prodotti con segni falsi";c) L'introduzione nello Stato e commercio di prodotti con segni fallaci;d) L'introduzione nello Stato e commercio di prodotti con segni falsi;4
In materia di sicurezza dei prodotti, quale di questi giochi è escluso dal campo di applicazione del D.lgs. n. 54/2011?;a) Biciclette con altezza massima della sella fino a 400 mm;b) Gli archi per il tiro con l'arco di lunghezza fino a 120 cm;c) Fucili ad acqua e pistole ad acqua;d) Puzzle di 550 pezzi;4
In caso di omesso pagamento per le violazioni di carattere amministrativo contestate - ex art. 31, 7° comma D.lgs. n. 54/2011, il Reparto operante provvederà ad inoltrare il rapporto:;a) All'Agenzia delle Entrate;b) Alla Camera di Commercio Industria Artigianato e Agricoltura (C.C.I.A.A.);c) Alla Procura della Repubblica;d) Alla Prefettura - Ufficio Territoriale del Governo;2
"Quale delle seguenti leggi non attribuisce poteri alla Guardia di Finanza nell'espletamento dell'attività operativa di controllo in materia di ""sicurezza dei prodotti""?";a) Art. 107, comma 6, del D.Lgs. 206/2005;b) Art. 2, D.Lgs. n. 68/2001;c) Art. 13, legge n. 689/1981;d) Art. 25, legge n. 241/1990;4
Ai sensi del D.Lgs. n. 206/2005 (Codice al consumo), tutte le informazioni destinate ai consumatori devono essere tassativamente rese almeno in lingua italiana;a) Falso, sono consentite indicazioni che utilizzino espressioni non in lingua italiana diventate di uso comune;b) Vero;c) Falso, se le informazioni sono rese in lingua spagnola;d) Falso, se le informazioni sono rese in lingua inglese;1
L'art. 474 - 1° comma del c.p. rubricato (Introduzione nello Stato e commercio di prodotti con segni falsi) prevede l'applicazione:;a) della reclusione da uno a cinque anni e della multa da euro 5.000 a euro 50.000;b) dell'arresto fino a un anno e dell'ammenda da euro 500 a euro 3.000;c) dell'arresto fino a sei mesi e dell'ammenda da euro 200 a euro 1.000;d) della reclusione da uno a quattro anni e della multa da euro 3.500 a euro 35.000;4
Il reato di fabbricazione e commercio di beni realizzati usurpando titoli di proprietà industriale è sanzionato, a querela della persona offesa, dall'art. 517 ter - 1° c. - del c.p., con l'applicazione;a) della reclusione fino a due anni e della multa fino a euro 20.000;b) dell'arresto fino a sei mesi e dell'ammenda da euro 300 a euro 2.000;c) della reclusione fino a due anni o della multa fino a euro 10.000;d) dell'arresto fino a due mesi e dell'ammenda da euro 100 a euro 1.000;1
Salvo che il fatto costituisca reato, il distributore che immette sul mercato un giocattolo privo delle avvertenze per la sicurezza dell'uso, è soggetto;a) alla multa da 1.500 a 5.000 euro;"b) alla sanzione
amministrativa da 1.500 a 10.000 euro";"c) alla sanzione
amministrativa da 3.000 a 12.000 euro";d) alla multa fino a 10.000 euro;2
Il fabbricante che immette sul mercato un giocattolo privo dell'apposita documentazione tecnica ex-allegato IV D.Lgs. n. 54/2011 è soggetto, salvo che il fatto costituisca reato:;"a) alla sanzione
amministrativa da 1.500 a 25.000 euro";"b) alla sanzione
amministrativa da 2.500 a 40.000 euro";c) all'ammenda fino a 10.000 euro;d) alla multa fino a 20.000 euro;2
L'importatore che immette sul mercato un giocattolo privo dell'apposita documentazione tecnica ex-allegato IV D.Lgs. n. 54/2011 è soggetto, salvo che il fatto costituisca reato:;"a) alla sanzione
amministrativa da 5.000 a 25.000 euro";b) all'ammenda da 2.500 a 10.000 euro;"c) alla sanzione
amministrativa da 2.500 a 40.000 euro";d) alla multa fino a 10.000 euro;3
L'importatore che immette sul mercato un giocattolo privo della marcatura CE è soggetto, salvo che il fatto costituisca reato:;a) alla multa da 3.000 a 15.000 euro;b) all'ammenda fino a 10.000 euro;"c) alla sanzione
amministrativa da 2.500 a 30.000 euro";"d) alla sanzione
amministrativa da 8.000 a 40.000 euro";3
L'importatore che immette sul mercato un giocattolo privo delle avvertenze per la sicurezza dell'uso, ex-art. 10 D.Lgs. n. 54/2011 è soggetto, salvo che il fatto costituisca reato:;"a) alla sanzione
amministrativa da 2.500 a 15.000 euro";"b) alla sanzione
amministrativa da 2.500 a 30.000 euro";c) alla multa da 5.000 a 15.000 euro;d) alla multa fino a 10.000 euro;2
Nel caso di associazione a delinquere finalizzata alla contraffazione la competenza di un eventuale procedimento penale è della:;a) Direzione Investigativa Antimafia;"b) Direzione Distrettuale Antimafia e
Antiterrorismo";c) Procura della Repubblica;d) Agenzia delle Dogane e Monopoli;2
Il reato di contraffazione rientra tra i delitti contro:;a) La persona;b) L'Amministrazione della Giustizia;c) Il patrimonio;d) La fede pubblica;4
L' art. 473 c.p contiene la tutela penale di contrasto alla contraffazione?;a) Falso è l'art. 517 quater c.p;b) Falso è l'art 474 c.p;c) Vero;d) Falso è l'art 517 ter c.p;3
L'art. 474 cod. pen. punisce in ugual modo il reato di introduzione nel territorio dello Stato, al fine di trarne profitto, dei prodotti contraffatti ed il reato di vendita di prodotti industriali con marchi contraffatti?;a) Falso, la contraffazione costituisce soltanto un illecito civile;b) Falso, è sanzionata più gravemente la vendita di prodotti industriali con marchi contraffatti;c) Vero, sono puniti entrambi con la reclusione da uno a quattro anni e con la multa da euro 3.500 a euro 35.000.;d) Falso, è sanzionata più gravemente l'introduzione nel territorio dello Stato dei prodotti industriali contraffatti;4
L'elemento soggettivo necessario a configurare uno dei delitti sanzionati dall'art. 473 c.p. deve essere individuato nel dolo specifico?;a) Vero;b) Falso, è nella colpa;c) Falso, è nella colpa grave;d) Falso, è nel dolo generico;4
Il distributore che non ottemperi al provvedimento emanato dall'autorità di vigilanza, a seguito di accertamento, di ritiro o richiamo dal mercato di giocattoli pericolosi, è punito, salvo che il fatto costituisca più grave reato:;a) con l'arresto da sei mesi ad un anno e con l'ammenda da 10.000 a 50.000 euro;b) con la multa fino a 10.000 euro;c) con l'ammenda fino a 15.000 euro;"d) con la sanzione
amministrativa da 5.000 a 15.000 euro";1
La Direttiva n. 2006/95/UE del 12 dicembre 2006 concerne:;a) Il ravvicinamento delle legislazioni degli Stati membri relative al contrasto alle frodi alimentari;"b) La disciplina del ""made in UE""";c) Il ravvicinamento delle legislazioni degli Stati membri relative al materiale elettrico destinato ad essere adoperato entro taluni limiti di tensione;d) Il ravvicinamento delle legislazioni degli Stati membri relative alla sicurezza dei giocattoli;3
In base a quale norma si può ordinare agli internet service provider (I.S.P.) di inibire l'accesso ad un sito web?;a) L. 128/2004;b) Art. 171-ter L. 633/41;c) Art. 14 e segg. D.Lgs n. 70/2003;d) Art. 73 L. 633/41;3
"Quando, ai sensi del D.L. n. 135/2009, un prodotto è classificabile ""100% Made in Italy""?";a) Il disegno, la progettazione, la lavorazione ed il confezionamento sono compiuti esclusivamente sul territorio italiano;b) La maggior parte dei componenti del prodotto è stata fabbricata in Italia;c) Tutte le sue parti, fabbricate indistintamente in Italia o all'estero, vengano assemblate in Italia;d) Tutte le sue parti siano state fabbricate in Italia, ancorchè assemblate all'estero;1
La Guardia di Finanza gestisce il Sistema Informativo Anti Contraffazione (S.I.A.C.)?;a) No, è gestita dal Ministero dell'Economia e delle Finanze;b) Vero;c) No, è gestita dalla S.I.A.E;"d) No, è gestita
dall'Agenzia delle Entrate";2
È possibile utilizzare le intercettazioni telefoniche, nei procedimenti per i delitti di frode nell'esercizio del commercio (art. 515 c.p.)?;a) No, sono previste solo per i delitti di cui agli artt. 473 e 474 del codice penale.;b) Si, come disposto dall'art. 14, comma 3, della Legge 14 Gennaio 2013, n. 9.;c) No.;d) Si, soltanto se eseguite dai Carabinieri del NOE.;2
Con quale pena è sanzionato chi commette il reato previsto dall'art. 515 del c. p. (frode nell'esercizio del commercio)?;a) Con la reclusione fino a quattro anni.;b) Con la reclusione fino a due anni o con la multa fino a 2.065 euro.;c) con la reclusione fino a sei anni.;d) Con la reclusione fino a due anni o con la multa fino a 40.000 euro.;2
"Con l'attuazione del ""Dispositivo operativo per il contrasto alla contraffazione ed all'abusivismo commerciale organizzato"", la Guardia di Finanza:";a) assicura il generale presidio di tutela della spesa pubblica su tutto il territorio nazionale, nonché corrisponde efficacemente alle direttive provenienti dall'Autorità di Governo, in concomitanza di particolari periodi dell'anno;b) assicura il generale presidio fiscale del territorio, nonché corrisponde efficacemente alle direttive provenienti dall'Autorità di Governo, in concomitanza di particolari periodi dell'anno;c) assicura il generale presidio economico del territorio, nonché corrisponde efficacemente alle direttive provenienti dall'Autorità di Governo, in concomitanza di particolari periodi dell'anno;d) assicura il generale presidio finanziario del territorio, nonché corrisponde efficacemente alle direttive provenienti dall'Autorità di Governo, in concomitanza di particolari periodi dell'anno;3
Laddove determinati prodotti risultino privi di marcatura CE, la sanzione a carico dei produttori, importatori e/o commercianti ed installatori potrà essere:;a) Il ritiro dal commercio e il divieto di utilizzazione;b) La rimozione del marchio di qualità europea;c) L'esportazione fuori lo Spazio economico europeo;d) La distruzione dei prodotti;1
La Legge n. 99 in data 23 Luglio 2009 ha:;a) Introdotto il reato transnazionale in materia di contraffazione;b) Introdotto il reato di contraffazione di opere d'arte;c) Sdoppiato in due fattispecie l'art. 473 c.p., per punire, la contraffazione dei marchi e segni distintivi e quella di brevetti, disegni o modelli industriali;"d) Abrogato l'art. 4 della Legge 350/2003 (finanziaria 2004) in materia di ""made in Italy""";3
Per il reato di contraffazione è possibile procedere all'attivazione di intercettazioni telefoniche?;a) Sì, ma solo in flagranza di reato;b) Sì, ma solo nell'ipotesi del reato di associazione a delinquere;c) Sì, sempre;d) No;2
Per quanto attiene le sanzioni applicate all'acquirente operatore commerciale di prodotti contraffatti, l'Autorità competente a valutare i ricorsi in opposizione a tali sanzioni è il T.A.R.?;a) No, è il Tribunale;b) No, è la Corte d'Appello;c) Nessuna delle alternative è corretta;d) No, la Prefettura - Ufficio Territoriale del Governo;4
Indicare nell'etichetta elementi non veritieri circa le indicazioni geografiche o denominazione di origine di prodotti agroalimentari configura;a) Il reato di contraffazione punito a mente dell'art. 574 quater c.p;b) Vendita di prodotti con segni mendaci punita a mente dell'art. 517 quater c.p;"c) Illecito amministrativo punito a mente della legge
24/11/1981, n. 689";d) Solo un illecito civile di natura contrattuale;2
Il delitto di ricettazione disciplinato e punito dall'art. 648 c.p. può concorrere con i reati di cui all'art. 171 ter Legge 633/41?;a) Sì, può concorrere qualsiasi tipo di reato;b) Sì;c) No, può concorrere solo l'elusione fiscale;d) Nessuna delle alternative proposte è corretta;2
"Qualora sul prodotto sia stata apposta l'etichettatura ""made in Italy"", ""prodotto in Italia"" o un'attestazione equivalente ma l'ultima trasformazione o lavorazione sostanziale sia stata effettuata all'estero, deve ritenersi configurata la fattispecie";a) Di cui al Regolamento n. 952/2013, avente ad oggetto il Codice Doganale dell'Unione Europea;b) Dell'art. 517 C.P.;c) Dell'art. 525-bis c.p.;d) Dell'art. 516 c.p.;2
All'interno di Europol, allo scopo di aumentare la collaborazione tra le istituzioni, agenzie e settore privato a livello europeo e internazionale, è stato istituito:;a) L'EUIPO (European Union Property Office);b) L'Ufficio europeo di polizia anticontraffazione;c) L'IPC3 (Intellectual Property Crime Coordinated Coalition);d) Eurojust, con lo scopo di favorire la collaborazione tra le Autorità Giudiziarie dell'Unione Europea in materia di contraffazione e sicurezza prodotti;3
Che cosa comporta la contraffazione di un'opera d'arte qualora effettuata nell'esercizio di un'attività commerciale?;a) La diminuzione della pena e l'interdizione a norma dell'articolo 20 del codice penale;b) Nessuna delle alternative fornite è corretta;c) La diminuzione della pena e l'interdizione a norma dell'articolo 30 del codice penale;d) L'aumento della pena e l'interdizione a norma dell'articolo 20 del codice penale;2
Il decreto legislativo 16 marzo 2015, n. 28 ha introdotto nel nostro Ordinamento Giuridico:;"a) Una causa di non punibilità che, ove ne ricorrano le circostanze, può applicarsi anche alle condotte di contraffazione, di violazione delle norme a tutela del ""Made in Italy""e le frodi in commercio";b) La responsabilità penale delle società;"c) Un'aggravante che, ove ne ricorrano le circostanze, può applicarsi anche alle condotte di contraffazione, di violazione delle norme a tutela del ""Made in Italy""e le frodi in commercio";d) La causa di non punibilità della legittima difesa in appartamento;1
Nel settore della sicurezza dei prodotti commercializzati è stato istituito un sistema comunitario di allerta rapido denominato SELEX?;a) No, è denominato SARC;b) Sì;c) No, è denominato RAPEX;d) No, è denominato SAR;3
L'applicazione delle disposizioni contenute nell'Accordo di Madrid è di competenza:;a) Della Guardia di Finanza;b) Della Polizia di Stato;c) Degli uffici dell'Agenzia delle dogane e monopoli;d) Del Ministero delle Imprese e del Made in Italy;3
Il D.L. n 135/2019 all'art 16 ha introdotto nuove regole in materia di:;a) confisca delle cose che servirono a commettere il reato di contraffazione;b) Incauto acquisto;c) L'utilizzo di specifiche etichette nei casi in cui il disegno, la progettazione, la lavorazione e il confenzionamento avvengano in parte sul territorio italiano;"d) Riconoscimento della qualità dei prodotti ""made in Italy"" e dei prodotti interamente italiani";4
I prodotti riconosciuti come pericolosi possono essere immessi sul mercato solo se i loro imballaggi soddisfano queste condizioni:;a) Sono progettati e realizzati in modo tale da impedire qualsiasi fuoriuscita del contenuto;b) i recipienti devono essere muniti di un sistema che non può essere riapplicato, progettato in modo che l'imballaggio possa essere richiuso una sola volta per garantire la fuoriuscita del contenuto;c) Tutte le parti dell'imballaggio e della chiusura devono essere solide e robuste, in modo da escludere qualsiasi allentamento e da sopportare in piena sicurezza le normali sollecitazioni di manipolazione;"d) I materiali che
costituiscono l'imballaggio
e la chiusura non devono deteriorarsi a contatto con il contenuto, né poter formare con questo composti pericolosi";2
L'articolo 473 c.p. contiene:;a) La tutela penale di contrasto alla contraffazione;b) Nessuna delle alternative proposte è corretta;c) La tutela penale per i brevetti non registrati;d) La tutela penale per il diritto d'autore;1
Per quanto concerne la responsabilità amministrativa delle società, disciplinata dal D.Lgs. 231/2001 la L. 23 luglio 2009, n. 99, quali delitti contro l'industria e il commercio ha inserito nell'articolo 25-bis.1 del predetto Decreto?;a) l'art. 517 c.c.;b) l'art. 517 c.p.p.;c) l'art. 417 c.p.;d) Gli artt. 517, 517-ter, 517-quater c.p.;4
L'art. 517 c.p.- vendita di prodotti industriali con segni mendaci - non trova applicazione:;"a) nell'inganno sulla qualità: ad esempio profumi ""falso d'autore""";b) nella marchiatura CE non conforme;c) in tutti i prodotti dove non è previsto il Made in Italy;d) nei marchi di fatto o presentazione complessiva del prodotto (segni distintivi);3
Da quale combinato disposto è tutelato il reato di «falsa o fallace indicazione di origine, provenienza o qualità dei prodotti»?;a) Dal combinato disposto di cui all'art.4, comma 49 della L. 350/2003 e all'art. 517 del codice penale.;b) Dagli articoli 473 e 474 del codice penale.;c) Dall'art 517 del codice penale.;d) Dal combinato disposto di cui all'art.4, comma 49 della L. 350/2003 e all'art. 474 bis del codice penale.;1
La Camera di Commercio Industria Artigianato e Agricoltura (C.C.I.A.A.) è L' Istituzione competente a valutare i ricorsi in opposizione alle sanzioni applicate all'acquirente finale di prodotti contraffatti?;a) Falso, è il T.A.R. Lazio;b) Falso, è la Prefettura - Ufficio Territoriale del Governo;c) Vero;d) Falso, è il Giudice di Pace;2
Il decreto legislativo n. 206 in data 6 settembre 2005 noto come Codice del Consumo stabilisce:;a) Sanzioni per la contraffazione agroalimentare;b) Sanzioni per la contraffazione dei marchi;"c) Sanzioni per le violazioni al ""Made in Italy""";d) Sanzioni per le infrazioni in materia di prodotti pericolosi destinati al mercato;4
La Guardia di Finanza collabora con il Ministero delle Imprese e del Made in Italy (precedentemente denominato Ministero dello Sviluppo Economico) nell'attività di vigilanza per il controllo di conformità dei giocattoli ai sensi del D.Lgs. 11.4.2011, n. 54.;a) della legge n. 189/1959, art 1, primo alinea;b) del combinato disposto degli artt. 14 DPR 600/1973 e 25 L. 7.1.1929, n. 4;c) del combinato disposto degli artt. 2 e 3 del D. Lgs. n. 68/2001;d) del combinato disposto degli artt. 22 DPR n. 633/1972 e 33 DPR 600/1973;3
"L'articolo 31, comma 2, del decreto-legge 30 aprile 2019, n. 34, convertito dalla legge n. 58 del 2019 (c.d. ""decreto crescita 2019""):";a) Elenca i marchi registrati e che non hanno chiare origini italiane;b) Reca la disciplina del marchio storico d'interesse nazionale, ai sensi della quale i titolari o licenziatari esclusivi di marchi d'impresa - registrati da almeno cinquanta anni e che siano stati utilizzati per la commercializzazione di prodotti.;c) Indica determinate caratteristiche, nomi o proprietà dei marchi registrati in Italia;d) Ha previsto che per le finalità di cui al presente articolo sono destinati 30 milioni di euro per l'anno 2020;4
La banca dati Iperico del Ministero delle Imprese e del Made in Italy non viene alimentata da:;a) Arma dei Carabinieri;b) Agenzia delle Dogane e Monopoli;c) Agenzia delle Entrate;d) Polizia di Stato;3
"In ambito contraffazione, ai sensi della L. n. 99/2009, per i soli Ufficiali di polizia giudiziaria ""appartenenti alle strutture specializzate"" della Polizia di Stato, dell'Arma dei Carabinieri e del Corpo della Guardia di Finanza, è possibile";"a) Dare rifugio o assistenza agli associati, acquistare, ricevere, sostituire od occultare denaro, armi documenti, beni o cose che siano oggetto, prodotto, profitto
omezzo per commettere il
reato";b) Usufruire della causa di esclusione del reato dell'uso legittimo delle armi;"c) Acquistare, ricevere, sostituire od occultare denaro, armi documenti, beni o cose che siano oggetto, prodotto, profitto
omezzo per commettere il
reato di traffico di stupefacenti";d) Usufruire della causa di esclusione dello stato di necessità;1
Il settore agroalimentare, tra le altre, è inciso dalle seguenti attività illegali:;"a) alterazioni, riciclaggio, sofisticazioni, falsificazioni
e contraffazioni";b) alterazioni, adulterazioni, sofisticazioni, falsificazioni e contraffazioni;c) alterazioni, adulterazioni, sofisticazioni, ricettazione e contraffazioni;d) alterazioni, adulterazioni, sofisticazioni, falsificazioni e contrabbando;2
"Esclude la sussistenza del delitto di cui all'art. 474 c.p. (Introduzione nello Stato e commercio di prodotti con segni falsi) l'apposizione di diciture rivelatrici della falsità quali ""facsimile"", ""copia d'autore"", su prodotti industriali recanti marchi contraffatti?";a) Sì, esclude la sussistenza del delitto di cui all'art. 474 c.p;b) Sì, esclude la sussistenza del reato ma configura un illecito di carattere amministrativo;c) Sì, esclude la sussistenza del reato ma configura un illecito di carattere civile;d) No, non la esclude;4
